,DET1.NDIT,DET1.NDITSKIP,DET1.PERIOD,DET1.TDELAY,DET1.WIN.MTCS1,DET1.WIN.MTCW1,DET1.WIN.MTRH1,DET1.WIN.MTRS1,SEQ.DARK.INS.SFL.NAME,SEQ.DITMAX,SEQ.DITMIN,SEQ.LAMP.COOLDOWN,SEQ.LAMP.WARMUP
44,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,300.0
56,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,300.0
57,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,30.0
59,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,30.0
60,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,30.0
61,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,3.0
63,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,3.0
65,20.0,1.0,0.2,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,3.0
66,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,3.0
74,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,300.0
75,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,2.0
76,20.0,1.0,0.2,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,2.0
77,20.0,1.0,0.2,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,2.0
78,20.0,1.0,0.2,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,2.0
79,20.0,1.0,0.2,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,300.0
330,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,3.5,0.1,1.0,1.0
3905,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,300.0
3906,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,300.0
