,DET1.DIT,DET1.NDIT,DET2.DIT,DET2.NDIT
28,0.02,1000.0,0.03,100.0
29,0.1,200.0,0.03,100.0
30,0.2,100.0,0.03,100.0
31,0.02,1000.0,0.03,100.0
32,0.075,400.0,0.03,100.0
55,0.02,1000.0,0.03,100.0
67,0.02,1000.0,0.03,100.0
68,0.1,200.0,0.03,100.0
69,0.2,100.0,0.03,100.0
70,0.02,1000.0,0.03,100.0
71,0.075,400.0,0.03,100.0
92,0.02,1000.0,0.03,100.0
93,0.1,200.0,0.03,100.0
94,0.2,100.0,0.03,100.0
95,0.02,1000.0,0.03,100.0
96,0.075,400.0,0.03,100.0
472,0.02,100.0,0.03,100.0
473,0.02,100.0,0.03,100.0
474,1.0,10.0,0.03,100.0
475,1.0,100.0,0.03,100.0
479,1.0,100.0,0.03,100.0
536,0.02,100.0,0.03,100.0
538,0.02,1000.0,0.03,100.0
540,0.02,1000.0,0.03,100.0
541,0.075,400.0,0.2,100.0
542,0.075,400.0,0.2,100.0
871,0.02,1000.0,0.02,100.0
872,0.075,400.0,0.075,100.0
3902,0.02,1000.0,0.03,100.0
3903,0.078,1000.0,0.03,100.0
3940,1.0,100.0,0.03,100.0
3941,5.0,100.0,0.03,100.0
3943,1.0,100.0,0.03,100.0
3965,1.0,100.0,0.03,100.0
3966,1.0,100.0,0.03,100.0
3967,5.0,100.0,0.03,100.0
3968,0.03,100.0,0.03,100.0
3969,0.2,100.0,0.03,100.0
4249,0.05,100.0,0.03,1000.0
4250,0.05,100.0,0.2,200.0
4285,0.05,100.0,0.02,200.0
4406,0.05,100.0,0.02,1000.0
4407,0.05,100.0,0.075,1000.0
4525,1.0,100.0,0.03,100.0
4526,0.05,100.0,0.02,1000.0
4527,0.05,100.0,0.075,1000.0
5830,1.0,100.0,0.03,100.0
