,SEQ.IMG.DIT,SEQ.IMG.NDIT,SEQ.IMG.REF.DIT,SEQ.IMG.REF.NDIT,SEQ.PUP.DIT,SEQ.PUP.NDIT,SEQ.PUP.REF.DIT,SEQ.PUP.REF.NDIT
97,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
98,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
99,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
100,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
139,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
140,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
1384,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
1385,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
1386,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
1387,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
1388,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
1389,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
1450,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
1451,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
1667,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
1668,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
2175,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
2176,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
2240,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
2241,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
2255,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
2256,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
2597,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
2598,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
2599,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
2961,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
2963,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
3913,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3914,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3915,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3916,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3917,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3918,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
3920,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3923,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3924,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3925,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3926,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3927,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3928,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
3929,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3930,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
3931,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
3932,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
4256,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
4259,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
4260,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
4286,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
4287,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
4306,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
4307,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
4995,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
4996,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
4997,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
4998,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5001,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5003,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5004,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5005,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5006,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5009,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
