,x,y,cluster,type
0,-11.846726,10.277332,0,OK
2,-11.833287,10.256547,0,OK
4,-2.9640112,-6.170674,-1,OK
5,-2.964606,-6.1846576,-1,OK
34,-1.9368185,-6.112267,-1,OK
35,7.6045833,-0.70073307,-1,OK
36,-2.645761,-6.26064,-1,OK
37,-2.6341367,-6.237566,-1,OK
38,-2.6659997,-6.2623534,-1,OK
125,-20.68417,-33.678913,1,OK
126,-20.657623,-33.693012,1,OK
127,-20.698565,-33.692657,1,OK
128,-20.692505,-33.654137,1,OK
130,-20.705885,-33.701836,1,OK
131,-20.660866,-33.6569,1,OK
132,-20.727602,-33.655582,1,OK
133,-20.7026,-33.67381,1,OK
134,-20.701136,-33.660656,1,OK
135,-20.700525,-33.667355,1,OK
136,-20.687376,-33.673866,1,OK
137,-20.711563,-33.711872,1,OK
138,-20.673819,-33.69981,1,OK
148,-11.820183,10.243051,0,OK
150,-11.847514,10.279792,0,OK
152,-1.9684314,-6.059186,-1,OK
154,-1.5800405,-7.261095,-1,OK
156,-1.5519598,-7.286959,-1,OK
158,-1.5254914,-7.3162217,-1,OK
160,-1.5183176,-7.319283,-1,OK
162,-1.5637963,-7.2720838,-1,OK
164,-2.5748818,-6.588935,-1,OK
166,-2.5841155,-6.610142,-1,OK
168,-2.6021955,-6.6093526,-1,OK
170,-2.7068722,-6.2594376,-1,OK
188,-11.842317,10.268842,0,OK
190,-2.53671,-6.1951528,-1,OK
192,-2.5219624,-6.199157,-1,OK
194,-2.48316,-6.153357,-1,OK
196,-2.5030932,-6.1427517,-1,OK
220,-11.835127,10.255727,0,OK
221,-11.8327055,10.255098,0,OK
223,-2.5850143,-6.569523,-1,OK
225,15.005164,5.9045897,-1,OK
227,-1.8145235,-5.840057,4,OK
282,-1.8173912,-7.1074452,-1,OK
283,-1.692711,-7.108095,2,OK
284,-1.6683528,-7.13172,2,OK
288,-1.6727324,-7.1320043,2,OK
289,7.6150765,-0.6902305,3,OK
290,7.6220775,-0.68481195,3,OK
295,7.6022334,-0.7031031,3,OK
296,7.6117105,-0.6938201,3,OK
297,7.6125064,-0.6928515,3,OK
298,7.6135774,-0.6918174,3,OK
300,-2.4480307,-6.209403,-1,OK
306,-2.5080984,-5.9069676,-1,OK
311,-2.3893487,-6.1735835,-1,OK
316,-2.7939305,-6.3421745,-1,OK
321,-2.6240752,-6.6151614,-1,OK
326,-3.4254222,-6.235828,-1,OK
345,-1.6671964,-7.136705,2,OK
346,7.6065574,-0.6987752,3,OK
349,-1.7546586,-5.9138274,4,OK
353,-1.7492883,-5.9134107,4,OK
357,-1.7889725,-5.9013724,4,OK
362,-1.7537284,-5.8847947,4,OK
363,-1.7794375,-5.8718305,4,OK
364,-1.7660369,-5.864123,4,OK
368,-1.794387,-5.960177,4,OK
372,-1.7392027,-5.9179835,4,OK
375,-3.4130695,-6.1867456,5,OK
379,-3.4939177,-6.2100835,-1,OK
382,-3.4621525,-6.2145705,-1,OK
386,-3.4746714,-6.201772,-1,OK
406,-1.6611136,-7.1256623,2,OK
407,-1.6598272,-7.112501,2,OK
408,-1.6735141,-7.1112347,2,OK
409,-2.3296258,-0.63670087,-1,OK
410,-2.3387752,-0.6275507,-1,OK
411,-2.2549927,-0.71408343,-1,OK
412,-2.2492867,-0.7196998,-1,OK
413,-2.2473588,-0.72154397,-1,OK
414,-2.2251608,-0.7438107,-1,OK
415,-2.2374184,-0.73144084,-1,OK
416,-2.2218897,-0.74630564,-1,OK
417,-2.169271,-0.7928905,-1,OK
418,-2.186025,-0.7761673,-1,OK
420,-11.832594,10.25547,0,OK
421,-11.89004,10.317492,0,OK
422,-11.862489,10.291996,0,OK
430,-2.2266037,-5.6111355,-1,OK
433,-1.569992,-5.7136507,-1,OK
435,-1.6150451,-5.70698,-1,OK
438,-1.6341476,-5.648114,-1,OK
439,-1.6353141,-5.6424103,-1,OK
441,-2.219895,-5.611679,-1,OK
444,-2.3742454,-5.9293394,-1,OK
447,-2.4295094,-6.000405,-1,OK
449,-3.122805,-5.9184136,5,OK
452,-3.1944737,-5.973253,5,OK
455,-3.0307283,-6.3670406,-1,OK
490,2.6059647,13.361376,-1,OK
491,-1.7071705,-7.05549,-1,OK
493,-2.419267,-5.418283,-1,OK
495,-2.5164585,-4.9990473,-1,OK
497,-2.5352855,-5.0258083,-1,OK
499,-2.5075507,-5.025779,-1,OK
501,-2.4418387,-5.1894145,-1,OK
504,-2.5230532,-4.98044,-1,OK
506,-2.5236967,-4.986843,-1,OK
510,-2.5341706,-4.9728417,-1,OK
513,-2.5696912,-4.9198127,-1,OK
517,9.557086,-4.7670913,-1,OK
551,2.4905152,10.402713,-1,OK
553,-1.6631361,-7.131281,2,OK
556,-11.860692,10.290979,0,OK
562,-1.5747577,-7.191887,-1,OK
564,-2.417325,-5.9851217,-1,OK
