,x,y,cluster,type
2475,591.5536,-166.88484,0,OK
2476,591.5536,-166.88484,0,OK
2477,591.5536,-166.88484,0,OK
2478,591.5536,-166.88484,0,OK
2480,591.5536,-166.88484,0,OK
2483,111.53933,524.84534,1,OK
2484,-487.8477,381.3261,2,OK
2485,-487.8477,381.3261,2,OK
2486,-487.8477,381.3261,2,OK
2487,-487.8477,381.3261,2,OK
2489,-117.06603,478.15988,1,OK
2490,-117.06603,478.15988,1,OK
2552,-115.92368,590.24994,1,OK
2553,-115.92368,590.24994,1,OK
2554,111.53933,524.84534,1,OK
2555,-117.06603,478.15988,1,OK
2556,-487.8477,381.3261,2,OK
2557,-117.06603,478.15988,1,OK
2558,-54.609993,380.55692,1,OK
2559,-54.609993,380.55692,1,OK
2910,-545.516,-258.76236,-1,OK
2911,-446.0282,-217.25722,-1,OK
2912,424.95078,-21.928762,-1,OK
2913,-377.59586,-199.2013,-1,OK
2919,-446.0282,-217.25722,-1,OK
2969,-298.02798,-272.60944,-1,OK
2970,-350.04712,272.58456,-1,OK
2971,-350.04712,272.58456,-1,OK
2979,-379.91528,-285.9191,-1,OK
2981,-379.91528,-285.9191,-1,OK
2988,-448.13757,-330.70898,-1,OK
3092,-545.516,-258.76236,-1,OK
3093,-545.516,-258.76236,-1,OK
3098,-545.516,-258.76236,-1,OK
3611,-337.08975,-35.516647,3,OK
3612,-337.08975,-35.516647,3,OK
3613,-337.08975,-35.516647,3,OK
3615,409.82803,76.29647,-1,OK
3673,-337.08975,-35.516647,3,OK
3674,-337.08975,-35.516647,3,OK
3676,-337.08975,-35.516647,3,OK
3677,-337.08975,-35.516647,3,OK
3678,409.82803,76.29647,-1,OK
4044,-394.49472,81.71405,-1,OK
4045,373.55884,142.07698,-1,OK
4057,-394.49472,81.71405,-1,OK
4130,-251.24724,5.8518095,3,OK
4132,-251.24724,5.8518095,3,OK
4133,-394.49472,81.71405,-1,OK
4201,-394.49472,81.71405,-1,OK
5861,-221.49834,443.33652,1,OK
5862,-221.49834,443.33652,1,OK
5863,-64.044235,273.10968,1,OK
5864,-214.15874,542.0781,1,OK
5865,-18.371086,660.5835,1,OK
5866,-114.0059,687.09503,1,OK
5867,-18.371086,660.5835,1,OK
5868,-54.609993,380.55692,1,OK
5869,-54.609993,380.55692,1,OK
5870,-203.78133,629.1656,1,OK
5871,-160.56868,348.16513,1,OK
5872,-160.56868,348.16513,1,OK
5873,181.87854,583.5895,1,OK
5874,54.482517,423.9674,1,OK
5875,54.482517,423.9674,1,OK
5876,54.482517,423.9674,1,OK
5877,146.64803,370.5797,1,OK
5878,82.94618,629.5753,1,OK
5879,82.94618,629.5753,1,OK
5880,54.482517,423.9674,1,OK
5881,-8.94908,535.8554,1,OK
5882,-8.94908,535.8554,1,OK
5883,31.647512,308.63406,1,OK
5884,54.482517,423.9674,1,OK
5885,179.65555,457.8834,1,OK
5886,-8.94908,535.8554,1,OK
5887,-8.94908,535.8554,1,OK
5888,-8.94908,535.8554,1,OK
5889,-8.94908,535.8554,1,OK
6052,228.71121,-522.66974,4,OK
6065,-533.34735,-110.17371,-1,OK
6092,-104.87502,-157.86514,-1,OK
6093,-104.87502,-157.86514,-1,OK
6101,441.33066,165.77908,-1,OK
6108,345.3103,-419.81995,4,OK
6112,16.571444,-512.79266,5,OK
6116,404.1317,-480.74866,4,OK
6119,16.571444,-512.79266,5,OK
6123,345.3103,-419.81995,4,OK
6126,55.20702,-737.2508,-1,OK
6130,-65.21583,-737.8999,-1,OK
6134,-410.53833,-469.86612,-1,OK
6138,228.71121,-522.66974,4,OK
6166,149.39096,225.48444,1,OK
6167,149.39096,225.48444,1,OK
6168,149.39096,225.48444,1,OK
6169,149.39096,225.48444,1,OK
6183,115.81491,-196.74522,6,OK
6184,115.81491,-196.74522,6,OK
6185,23.136848,-138.5859,6,OK
6186,43.44026,-249.82288,6,OK
6187,187.75668,-142.93292,6,OK
6188,115.81491,-196.74522,6,OK
6189,23.136848,-138.5859,6,OK
6190,23.136848,-138.5859,6,OK
6191,115.96517,-83.510765,6,OK
6192,115.96517,-83.510765,6,OK
6193,115.96517,-83.510765,6,OK
6194,23.136848,-138.5859,6,OK
6195,23.136848,-138.5859,6,OK
6196,-27.9954,-229.93117,6,OK
6216,23.136848,-138.5859,6,OK
6218,23.136848,-138.5859,6,OK
6219,55.20702,-737.2508,-1,OK
6220,55.20702,-737.2508,-1,OK
6225,-36.60046,-815.18536,-1,OK
6262,323.69962,-515.28485,4,OK
6264,228.71121,-522.66974,4,OK
6265,323.69962,-515.28485,4,OK
6266,253.45409,-433.47516,4,OK
6268,253.45409,-433.47516,4,OK
6269,253.45409,-433.47516,4,OK
6270,323.69962,-515.28485,4,OK
6277,259.45102,12.97377,-1,OK
6286,259.45102,12.97377,-1,OK
6347,18.41655,24.72572,7,OK
6348,524.58673,100.99805,-1,OK
6349,524.58673,100.99805,-1,OK
6355,524.58673,100.99805,-1,OK
6356,-57.394596,-23.670444,7,OK
6357,524.58673,100.99805,-1,OK
6358,-61.649082,52.764267,7,OK
6359,-61.649082,52.764267,7,OK
6363,282.18768,-320.3501,-1,OK
6366,282.18768,-320.3501,-1,OK
6372,16.571444,-512.79266,5,OK
6373,16.571444,-512.79266,5,OK
6375,16.571444,-512.79266,5,OK
6379,16.571444,-512.79266,5,OK
6384,-344.65106,-404.87424,-1,OK
6387,-325.2306,-450.51562,-1,OK
6392,-258.7877,-408.71924,-1,OK
6450,-285.9792,84.44219,-1,OK
6452,-79.905136,-510.05173,5,OK
6453,-79.905136,-510.05173,5,OK
6456,-79.905136,-510.05173,5,OK
6458,18.41655,24.72572,7,OK
6466,18.41655,24.72572,7,OK
6476,-79.905136,-510.05173,5,OK
2479,616.7383,379.3154,-1,ERROR
2488,470.57663,470.9926,8,ERROR
3096,-348.00558,-632.1387,-1,ERROR
3616,483.5518,285.2723,-1,ERROR
3617,-261.96628,-657.00964,-1,ERROR
4131,-268.99448,-589.7525,-1,ERROR
4612,470.57663,470.9926,8,ERROR
6100,405.47125,583.1869,-1,ERROR
6156,308.85498,297.60464,-1,ERROR
6157,470.57663,470.9926,8,ERROR
6158,470.57663,470.9926,8,ERROR
6159,470.57663,470.9926,8,ERROR
6160,470.57663,470.9926,8,ERROR
6161,470.57663,470.9926,8,ERROR
6162,470.57663,470.9926,8,ERROR
6163,470.57663,470.9926,8,ERROR
6164,470.57663,470.9926,8,ERROR
6165,470.57663,470.9926,8,ERROR
6215,111.55995,-339.99164,-1,ERROR
6263,267.15906,-651.04333,-1,ERROR
6346,-150.36678,-285.55447,-1,ERROR
