,x,y,cluster,type
2475,19.221882,10.62824,0,OK
2476,19.226742,10.633132,0,OK
2477,19.307606,10.713938,0,OK
2478,19.215393,10.621772,0,OK
2480,19.150635,10.557027,0,OK
2483,-13.844987,-22.291807,1,OK
2484,10.081456,8.355754,2,OK
2485,10.098922,8.353615,2,OK
2486,10.13703,8.418461,2,OK
2487,10.057664,8.37443,2,OK
2489,-14.127015,-22.722527,1,OK
2490,-14.360073,-22.793554,1,OK
2552,-13.590895,-22.663902,1,OK
2553,-13.911403,-22.246275,1,OK
2554,-13.703776,-22.179441,1,OK
2555,-13.996775,-22.790642,1,OK
2556,10.187067,8.467842,2,OK
2557,-13.484189,-22.923082,1,OK
2558,-13.598197,-22.51959,1,OK
2559,-14.20712,-22.479399,1,OK
2910,18.645046,-1.3693421,-1,OK
2911,18.191843,-1.8445947,-1,OK
2912,9.457252,8.487786,-1,OK
2913,18.328663,-1.7775818,-1,OK
2919,18.219288,-1.9376873,-1,OK
2969,18.289019,-1.7908112,-1,OK
2970,9.347332,8.46773,-1,OK
2971,9.455032,8.541134,-1,OK
2979,18.29,-1.8257213,-1,OK
2981,18.434784,-1.702373,-1,OK
2988,18.566633,-1.4791211,-1,OK
3092,18.706762,-1.306278,-1,OK
3093,18.70867,-1.3144225,-1,OK
3098,18.675098,-1.356652,-1,OK
3611,1.4628838,-0.9647763,3,OK
3612,1.578269,-1.0643116,3,OK
3613,1.4930428,-0.9858052,3,OK
3615,9.666743,8.49686,-1,OK
3673,1.3431045,-0.86937296,3,OK
3674,1.5906684,-1.0195531,3,OK
3676,1.4799153,-0.978068,3,OK
3677,1.6452491,-1.1366225,3,OK
3678,9.615271,8.421866,-1,OK
4044,1.5188296,-0.30822086,-1,OK
4045,9.693026,8.161836,-1,OK
4057,1.5950375,-0.24344237,-1,OK
4130,1.6094517,-0.6764763,3,OK
4132,1.565714,-0.71161056,3,OK
4133,1.6390752,-0.32540494,-1,OK
4201,1.5311986,-0.32132667,-1,OK
5861,-13.819232,-22.650318,1,OK
5862,-13.643792,-22.335316,1,OK
5863,-14.153583,-23.063953,1,OK
5864,-14.107397,-22.014715,1,OK
5865,-14.217183,-22.348999,1,OK
5866,-13.714755,-22.562695,1,OK
5867,-14.118283,-22.29305,1,OK
5868,-13.469295,-22.216463,1,OK
5869,-13.879499,-21.989498,1,OK
5870,-13.633414,-22.464645,1,OK
5871,-14.059984,-22.12591,1,OK
5872,-13.984034,-22.74384,1,OK
5873,-13.176116,-22.251488,1,OK
5874,-13.567906,-22.837505,1,OK
5875,-13.971413,-22.41699,1,OK
5876,-13.517198,-21.954298,1,OK
5877,-13.828179,-23.041605,1,OK
5878,-14.096212,-21.949858,1,OK
5879,-13.395603,-22.374157,1,OK
5880,-14.252654,-22.411095,1,OK
5881,-13.527269,-22.096378,1,OK
5882,-13.441215,-22.79634,1,OK
5883,-14.391482,-22.620544,1,OK
5884,-13.903684,-22.874146,1,OK
5885,-13.433574,-22.755032,1,OK
5886,-14.422682,-22.138615,1,OK
5887,-14.2881775,-22.970463,1,OK
5888,-13.786098,-23.13486,1,OK
5889,-13.662569,-23.026468,1,OK
6052,13.338085,-3.0348577,4,OK
6065,3.3981206,-0.5182302,-1,OK
6092,-5.2114935,16.756128,-1,OK
6093,-5.558233,16.550457,-1,OK
6101,9.7693615,8.269518,-1,OK
6108,13.566298,-2.962038,4,OK
6112,19.9301,-0.05674231,5,OK
6116,13.574843,-2.9009526,4,OK
6119,19.844841,-0.14223833,5,OK
6123,13.456679,-3.2429168,4,OK
6126,3.3409104,-0.5785324,-1,OK
6130,3.3756447,-0.6280246,-1,OK
6134,18.972069,-0.9474846,-1,OK
6138,13.781595,-2.9471302,4,OK
6166,-13.202952,-22.736458,1,OK
6167,-12.968072,-22.582514,1,OK
6168,-12.897564,-22.579834,1,OK
6169,-13.049062,-22.501463,1,OK
6183,-5.790822,16.564648,6,OK
6184,-5.819944,16.967634,6,OK
6185,-6.178409,16.716167,6,OK
6186,-5.6139374,16.948114,6,OK
6187,-5.868282,16.657084,6,OK
6188,-5.7700386,16.836666,6,OK
6189,-5.921733,16.95597,6,OK
6190,-5.4440327,16.977335,6,OK
6191,-5.397912,16.706818,6,OK
6192,-5.4365883,16.525007,6,OK
6193,-5.5713515,16.67457,6,OK
6194,-5.6499715,16.613155,6,OK
6195,-5.377371,16.94127,6,OK
6196,-5.387371,16.796892,6,OK
6216,-5.6965804,17.215433,6,OK
6218,-5.7493105,17.06292,6,OK
6219,3.315002,-0.53129166,-1,OK
6220,3.2264369,-0.46566185,-1,OK
6225,3.5081081,-0.64378,-1,OK
6262,13.2688675,-2.8773868,4,OK
6264,13.341886,-2.9331236,4,OK
6265,13.642992,-3.0833886,4,OK
6266,13.448497,-3.122215,4,OK
6268,13.566316,-2.7917693,4,OK
6269,13.465388,-2.801491,4,OK
6270,13.433761,-2.853668,4,OK
6277,-4.9667788,16.433397,-1,OK
6286,-4.991541,16.402666,-1,OK
6347,-6.0917068,16.969141,7,OK
6348,9.531118,8.05841,-1,OK
6349,9.636586,8.0411,-1,OK
6355,9.513807,8.033249,-1,OK
6356,-6.043782,17.174276,7,OK
6357,9.580696,7.9914217,-1,OK
6358,-5.9326353,17.316668,7,OK
6359,-6.0146565,17.251587,7,OK
6363,13.671033,-3.0693169,-1,OK
6366,13.755429,-2.8189635,-1,OK
6372,19.975811,-0.010155581,5,OK
6373,19.771881,-0.21170245,5,OK
6375,19.798773,-0.18524727,5,OK
6379,19.753649,-0.22942552,5,OK
6384,19.0465,-0.87603015,-1,OK
6387,18.96258,-0.94730353,-1,OK
6392,19.637064,-0.2958137,-1,OK
6450,1.5410751,-0.72717196,-1,OK
6452,20.015755,0.027777294,5,OK
6453,19.98296,-0.004872787,5,OK
6456,19.739922,-0.24047871,5,OK
6458,-5.947568,17.300873,7,OK
6466,-6.18124,17.074888,7,OK
6476,19.877954,-0.108019754,5,OK
2479,19.16957,10.575947,-1,ERROR
2488,-9.663087,23.362413,8,ERROR
3096,-10.213086,23.128294,-1,ERROR
3616,-10.257415,23.242638,-1,ERROR
3617,-10.258642,23.281374,-1,ERROR
4131,-10.155164,23.114471,-1,ERROR
4612,-9.579401,23.314348,8,ERROR
6100,-9.92559,23.43521,-1,ERROR
6156,-10.008981,22.918823,-1,ERROR
6157,-9.676612,23.48472,8,ERROR
6158,-9.832942,23.52543,8,ERROR
6159,-9.722728,23.345198,8,ERROR
6160,-9.62573,23.54834,8,ERROR
6161,-9.747454,23.345398,8,ERROR
6162,-9.826644,23.49658,8,ERROR
6163,-9.856281,23.76178,8,ERROR
6164,-9.833402,23.44582,8,ERROR
6165,-9.553162,23.493607,8,ERROR
6215,-5.589556,17.484055,-1,ERROR
6263,13.215652,-3.349795,-1,ERROR
6346,-10.133037,22.473696,-1,ERROR
