,DET1.DIT,DET1.NDIT,DET2.DIT,DET2.NDIT
113,0.05,100.0,0.03,10.0
114,0.2,100.0,0.03,10.0
115,0.5,100.0,0.03,10.0
177,0.05,100.0,0.03,10.0
178,0.2,100.0,0.03,10.0
179,0.5,100.0,0.03,10.0
755,0.078,100.0,0.03,10.0
756,0.04,100.0,0.03,10.0
757,0.2,100.0,0.03,10.0
758,0.5,100.0,0.03,10.0
1630,0.05,100.0,0.03,10.0
1631,0.2,100.0,0.03,10.0
1632,0.5,100.0,0.03,10.0
2879,0.05,100.0,0.03,10.0
2880,0.05,100.0,0.03,10.0
2881,0.05,100.0,0.03,10.0
2882,0.05,100.0,0.03,10.0
2883,0.2,100.0,0.03,10.0
2884,0.5,100.0,0.03,10.0
3009,0.05,100.0,0.03,10.0
3010,0.2,100.0,0.03,10.0
3011,0.5,100.0,0.03,10.0
3984,0.05,100.0,0.03,10.0
3985,0.2,100.0,0.03,10.0
3986,0.5,100.0,0.03,10.0
3998,0.05,100.0,0.03,10.0
3999,0.2,100.0,0.03,10.0
4079,0.05,100.0,0.03,10.0
4080,0.2,100.0,0.03,10.0
4081,0.5,100.0,0.03,10.0
4186,0.05,100.0,0.03,10.0
4187,0.2,100.0,0.03,10.0
4188,0.5,100.0,0.03,10.0
4231,0.078,100.0,0.03,10.0
4232,0.2,100.0,0.03,10.0
4233,0.5,100.0,0.03,10.0
4559,0.078,100.0,0.03,10.0
4560,0.2,100.0,0.03,10.0
4561,0.5,100.0,0.03,10.0
4861,0.078,100.0,0.03,10.0
4862,0.2,100.0,0.03,10.0
4863,0.5,100.0,0.03,10.0
4970,0.078,100.0,0.03,10.0
4971,0.2,100.0,0.03,10.0
4972,0.5,100.0,0.03,10.0
5798,0.078,100.0,0.03,10.0
5799,0.2,100.0,0.03,10.0
5800,0.5,100.0,0.03,10.0
6304,0.078,100.0,0.03,10.0
6305,0.2,100.0,0.03,10.0
6306,0.5,100.0,0.03,10.0
6487,0.078,100.0,0.03,10.0
6488,0.2,100.0,0.03,10.0
6489,0.5,100.0,0.03,10.0
