,SEQ.IMG.DIT,SEQ.IMG.NDIT,SEQ.IMG.REF.DIT,SEQ.IMG.REF.NDIT,SEQ.PUP.DIT,SEQ.PUP.NDIT,SEQ.PUP.REF.DIT,SEQ.PUP.REF.NDIT
2962,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
3921,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
3922,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
4257,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
4258,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
4999,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5000,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5002,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5007,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5008,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5010,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5012,0.007,100.0,4.0,10.0,0.1,100.0,8.0,10.0
5013,0.007,100.0,4.0,10.0,0.1,100.0,8.0,10.0
5015,0.007,100.0,4.0,10.0,0.3,100.0,8.0,10.0
5020,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5023,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5033,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5034,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5036,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5037,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5038,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5039,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5040,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5042,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5044,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5046,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5047,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5048,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5049,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5051,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5052,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5220,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5221,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5222,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5619,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5622,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5623,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5625,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5626,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5630,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5631,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
