,x,y,cluster,type
1,8.228543,2.8622541,0,OK
3,8.253252,2.8868892,0,OK
6,-13.108078,15.713671,1,OK
19,-13.104672,15.640146,1,OK
20,-13.049381,15.66881,1,OK
39,-13.102832,15.636618,1,OK
41,-13.097726,15.688504,1,OK
42,-13.114667,15.655993,1,OK
43,-13.089729,15.659295,-1,OK
149,8.247592,2.8819058,0,OK
151,8.230594,2.874748,0,OK
153,8.231044,2.864234,0,OK
155,-13.049209,15.689997,1,OK
157,-13.0864105,15.665772,1,OK
159,-13.065029,15.630507,1,OK
161,-13.093635,15.656416,1,OK
163,-13.039231,15.7107115,1,OK
165,-13.081665,15.653188,1,OK
167,-13.086169,15.71344,1,OK
169,-13.101106,15.649861,1,OK
171,-13.06806,15.684813,1,OK
189,8.231386,2.8635025,0,OK
191,-13.157272,15.700692,1,OK
193,-13.101153,15.633724,1,OK
195,-13.072385,15.710536,1,OK
197,-13.123401,15.67468,1,OK
222,8.212368,2.8732212,0,OK
224,-13.104561,15.667935,1,OK
226,-13.113988,15.64443,1,OK
228,-13.097737,15.712335,1,OK
266,-13.036043,15.77591,-1,OK
267,-17.317503,26.009275,-1,OK
268,-17.034046,25.9267,-1,OK
270,-17.036203,25.92762,-1,OK
271,-17.02401,25.917845,-1,OK
272,-17.031206,25.922983,-1,OK
273,-17.060377,25.946484,-1,OK
278,-10.6960535,-14.264293,2,OK
279,-10.685546,-14.276456,2,OK
280,-10.665786,-14.296136,2,OK
281,-10.690641,-14.287415,2,OK
285,-10.683219,-14.252509,2,OK
286,-10.688026,-14.289195,2,OK
287,-10.665383,-14.260305,2,OK
291,-10.663457,-14.282656,2,OK
292,15.02038,15.571419,3,OK
293,-13.018845,15.687099,1,OK
294,-10.676488,-14.286441,2,OK
299,-10.674844,-14.300739,2,OK
301,-10.669018,-14.250588,2,OK
302,-10.646843,-14.223782,2,OK
303,15.030751,15.58183,3,OK
304,15.039763,15.5908165,3,OK
305,-13.034866,15.635699,1,OK
