,x,y,cluster,type
1,2.627262,0.6307816,0,OK
3,2.6242998,0.64511687,0,OK
6,-16.299746,7.753513,1,OK
19,-16.343826,7.771409,1,OK
20,-16.28248,7.736813,1,OK
39,-16.33106,7.805239,1,OK
41,-16.326855,7.7891345,1,OK
42,-16.289806,7.7514277,1,OK
43,-16.38753,7.8689775,-1,OK
149,2.6124833,0.6348103,0,OK
151,2.613803,0.6363186,0,OK
153,2.6252563,0.6478326,0,OK
155,-16.276508,7.75177,1,OK
157,-16.271536,7.7414937,1,OK
159,-16.275524,7.814535,1,OK
161,-16.173937,7.6808724,1,OK
163,-16.359285,7.7604566,1,OK
165,-16.376415,7.8341784,1,OK
167,-16.291283,7.720212,1,OK
169,-16.30838,7.748305,1,OK
171,-16.281694,7.780913,1,OK
189,2.6414843,0.6600468,0,OK
191,-16.295515,7.791503,1,OK
193,-16.331911,7.7593374,1,OK
195,-16.327341,7.8124976,1,OK
197,-16.31091,7.8013577,1,OK
222,2.6164005,0.63782823,0,OK
224,-16.330166,7.756511,1,OK
226,-16.310125,7.771841,1,OK
228,-16.303505,7.817178,1,OK
266,-16.313396,7.9383616,-1,OK
267,-28.208841,17.445536,-1,OK
268,-27.922882,17.437181,-1,OK
270,-27.92991,17.441933,-1,OK
271,-27.921185,17.436285,-1,OK
272,-27.921392,17.436596,-1,OK
273,-27.93253,17.442694,-1,OK
278,-10.597193,-13.135313,2,OK
279,-10.591759,-13.112793,2,OK
280,-10.591799,-13.111097,2,OK
281,-10.632695,-13.136475,2,OK
285,-10.584187,-13.1466,2,OK
286,-10.579402,-13.116622,2,OK
287,-10.579267,-13.123291,2,OK
291,-10.572649,-13.12093,2,OK
292,13.856427,7.246618,3,OK
293,-16.346233,7.758695,1,OK
294,-10.614769,-13.153063,2,OK
299,-10.628816,-13.1699915,2,OK
301,-10.5555315,-13.127076,2,OK
302,-10.563806,-13.106555,2,OK
303,13.861991,7.263794,3,OK
304,13.847907,7.2432127,3,OK
305,-16.281,7.7425094,1,OK
307,-10.561551,-13.103387,2,OK
308,13.877676,7.2690363,3,OK
309,-16.286913,7.8271546,1,OK
310,-10.601704,-13.133091,2,OK
312,-10.58845,-13.128952,2,OK
313,13.869531,7.2603188,3,OK
314,-16.303862,7.754265,1,OK
315,-10.589304,-13.133008,2,OK
317,-10.576579,-13.102852,2,OK
318,13.876463,7.249964,3,OK
319,-16.287016,7.792942,1,OK
320,-10.580789,-13.119269,2,OK
322,-10.309917,-13.723467,-1,OK
323,15.660221,24.279936,4,OK
324,-2.8483274,11.549892,5,OK
325,-10.560996,-13.239405,-1,OK
327,13.879544,7.2446723,3,OK
328,-10.568537,-13.090524,2,OK
329,-16.34368,7.814893,1,OK
347,-10.267846,-13.816681,6,OK
348,22.291136,8.652284,7,OK
350,22.287956,8.649222,7,OK
351,-10.27838,-13.800988,6,OK
352,22.281675,8.64279,8,OK
354,-16.313347,7.7857203,1,OK
355,-10.562725,-13.105532,2,OK
356,22.293253,8.654315,7,OK
359,22.272528,8.633663,7,OK
