,x,y,cluster,type
0,15.350883,-20.326225,0,OK
2,14.996297,-20.520298,0,OK
4,-35.057873,-12.996286,-1,OK
5,-35.05831,-12.996348,-1,OK
34,-44.52462,-14.462168,-1,OK
35,-26.854755,-42.06366,-1,OK
36,-33.91947,-9.95398,-1,OK
37,-33.895855,-9.978599,-1,OK
38,-33.89175,-9.9844265,-1,OK
125,-1.4010018,-79.75618,1,OK
126,-1.8808324,-79.01107,1,OK
127,-1.4010018,-79.75618,1,OK
128,-1.8808324,-79.01107,1,OK
130,-1.4010018,-79.75618,1,OK
131,-1.8808324,-79.01107,1,OK
132,-1.4010018,-79.75618,1,OK
133,-1.4010018,-79.75618,1,OK
134,-1.8808324,-79.01107,1,OK
135,-1.8808324,-79.01107,1,OK
136,-1.8808324,-79.01107,1,OK
137,-1.8808324,-79.01107,1,OK
138,-1.8808324,-79.01107,1,OK
148,14.992813,-21.108566,0,OK
150,15.937903,-20.86343,0,OK
152,-44.427887,-14.440527,-1,OK
154,-41.02216,-19.97117,-1,OK
156,-41.596302,-19.664913,-1,OK
158,-41.728264,-19.721146,-1,OK
160,-41.736797,-19.72816,-1,OK
162,-41.725975,-19.719677,-1,OK
164,-31.217745,-10.663345,-1,OK
166,-31.20997,-10.665322,-1,OK
168,-31.199377,-10.669322,-1,OK
170,-39.179176,-14.339424,-1,OK
188,15.648192,-21.097645,0,OK
190,-40.464424,-13.663835,-1,OK
192,-40.447227,-13.664322,-1,OK
194,-40.34805,-13.666923,-1,OK
196,-40.209442,-13.66173,-1,OK
220,15.219922,-21.266266,0,OK
221,14.845717,-20.857918,0,OK
223,-31.239197,-10.651079,-1,OK
225,-18.489895,60.531002,-1,OK
227,-42.749954,-10.737056,4,OK
282,-37.94006,-24.916613,-1,OK
283,-43.689842,-19.25148,2,OK
284,-44.26344,-19.83198,2,OK
288,-44.300976,-19.49548,2,OK
289,-26.756454,-41.338547,3,OK
290,-26.756454,-41.338547,3,OK
295,-26.756454,-41.338547,3,OK
296,-27.168186,-41.444126,3,OK
297,-26.756454,-41.338547,3,OK
298,-27.168947,-41.442257,3,OK
300,-41.127094,-15.520353,-1,OK
306,-38.88339,-11.754286,-1,OK
311,-41.076065,-15.54825,-1,OK
316,-39.06636,-14.858514,-1,OK
321,-31.197039,-10.669344,-1,OK
326,-39.429173,-17.350737,-1,OK
345,-43.693478,-19.357407,2,OK
346,-27.168947,-41.442257,3,OK
349,-44.255737,-11.54924,4,OK
353,-43.942284,-11.180692,4,OK
357,-43.982826,-11.765668,4,OK
362,-43.830975,-10.843789,4,OK
363,-43.586452,-10.941901,4,OK
364,-43.585136,-10.942516,4,OK
368,-43.97284,-11.77555,4,OK
372,-44.81294,-12.018792,4,OK
375,-38.669445,-16.861734,5,OK
379,-38.437946,-18.003773,-1,OK
382,-38.141415,-17.123907,-1,OK
386,-38.383617,-17.629639,-1,OK
406,-43.70788,-19.483908,2,OK
407,-44.02656,-19.92964,2,OK
408,-44.010548,-19.924873,2,OK
409,-16.828966,-35.555164,-1,OK
410,-16.828989,-35.55484,-1,OK
411,-16.544254,-37.773922,-1,OK
412,-16.544254,-37.773922,-1,OK
413,-16.544254,-37.773922,-1,OK
414,-16.544254,-37.773922,-1,OK
415,-16.544254,-37.773922,-1,OK
416,-16.507261,-38.6876,-1,OK
417,-17.152119,-41.39523,-1,OK
418,-17.152119,-41.39523,-1,OK
420,14.886119,-20.6253,0,OK
421,15.541648,-21.224154,0,OK
422,15.520742,-20.293747,0,OK
430,-40.67248,-9.0488205,-1,OK
433,-43.282402,-9.573085,-1,OK
435,-43.22013,-9.567958,-1,OK
438,-43.156155,-8.771881,-1,OK
439,-43.07095,-8.74301,-1,OK
441,-40.718872,-9.215519,-1,OK
444,-40.160072,-11.8794565,-1,OK
447,-40.108154,-11.95613,-1,OK
449,-37.627773,-13.203757,5,OK
452,-37.04132,-14.575044,5,OK
455,-36.228687,-16.227865,-1,OK
490,-30.331413,4.8874097,-1,OK
491,-44.953075,-17.755463,-1,OK
493,-38.656982,-7.3317933,-1,OK
495,-38.492886,-4.973841,-1,OK
497,-37.861515,-4.126907,-1,OK
499,-38.423973,-4.7320848,-1,OK
501,-38.822132,-6.0481772,-1,OK
504,-38.414066,-4.6972766,-1,OK
506,-38.1129,-4.761483,-1,OK
510,-37.867695,-4.0123186,-1,OK
513,-38.231483,-4.2720275,-1,OK
517,31.435795,-46.61356,-1,OK
551,-1.3166208,8.0411215,-1,OK
553,-44.230534,-19.35193,2,OK
556,15.776111,-20.393044,0,OK
562,-42.80179,-20.009998,-1,OK
564,-40.169495,-11.862801,-1,OK
566,-16.75146,9.52153,-1,OK
569,-40.30313,-11.392036,-1,OK
571,-40.72631,-9.2539835,-1,OK
573,-42.294914,-8.6253,-1,OK
575,-42.081573,-8.289792,-1,OK
576,-38.016747,-10.237947,-1,OK
578,-40.744255,-9.432179,-1,OK
579,-39.76364,-7.451523,-1,OK
581,-38.01209,-10.54464,-1,OK
583,-37.31076,-14.365595,5,OK
585,-37.785625,-15.782071,5,OK
587,-37.39504,-14.170101,5,OK
589,-37.696156,-15.849911,5,OK
591,-37.122894,-14.430091,5,OK
593,-37.489082,-15.422788,5,OK
597,-35.376972,-15.391976,-1,OK
598,-35.37831,-15.310816,-1,OK
599,-35.35638,-15.524128,-1,OK
602,-35.364063,-15.175503,-1,OK
604,-37.802334,-15.196083,5,OK
633,-4.298455,-84.046646,6,OK
634,-4.298455,-84.046646,6,OK
635,-4.298455,-84.046646,6,OK
661,-38.062843,-6.683432,-1,OK
662,-24.112085,-44.354855,-1,OK
663,-16.775476,-36.22698,-1,OK
668,-44.085743,-18.690733,2,OK
669,-43.887478,-18.803215,2,OK
675,-42.672173,-11.91498,-1,OK
677,-42.447697,-12.019931,-1,OK
679,-41.82761,-12.978496,-1,OK
681,-43.763702,-12.265932,4,OK
