,x,y,cluster,type
2475,15.9079685,17.232016,0,OK
2476,15.678221,17.393353,0,OK
2477,15.739915,17.304085,0,OK
2478,15.770041,17.45444,0,OK
2480,15.7063265,17.323812,0,OK
2483,16.733803,17.22121,1,OK
2484,-5.5631375,-12.431666,2,OK
2485,-5.593234,-12.429726,2,OK
2486,-5.677513,-12.441376,2,OK
2487,-5.6319976,-12.502723,2,OK
2489,16.951452,17.738466,1,OK
2490,16.55812,17.61144,1,OK
2552,16.637245,17.409798,1,OK
2553,17.24956,17.378323,1,OK
2554,17.132275,17.429226,1,OK
2555,17.188374,17.559052,1,OK
2556,-5.44846,-12.345018,2,OK
2557,16.80742,17.372004,1,OK
2558,16.782032,17.517246,1,OK
2559,17.10665,17.238226,1,OK
2910,-0.066436455,-1.0982813,3,OK
2911,-0.7844879,-0.7200542,-1,OK
2912,-5.67624,-11.774858,-1,OK
2913,-0.9617313,-0.5740917,-1,OK
2919,-0.8165756,-0.7057663,-1,OK
2969,-0.5321528,-0.7393116,-1,OK
2970,-5.688021,-11.789824,-1,OK
2971,-5.6368937,-11.843982,-1,OK
2979,-0.60318524,-0.734489,-1,OK
2981,-0.69755054,-0.75575405,-1,OK
2988,-0.22505485,-0.92134744,-1,OK
3092,-0.06096059,-1.1092572,3,OK
3093,-0.105086036,-1.0547049,3,OK
3098,-0.09792664,-1.0569451,3,OK
3611,-4.0629826,3.933016,4,OK
3612,-3.9656334,3.785966,4,OK
3613,-3.8089857,3.7063584,4,OK
3615,-5.8988605,-12.0057955,-1,OK
3673,-4.007692,3.8036284,4,OK
3674,-4.1496425,3.9764864,4,OK
3676,-3.961102,3.6568537,4,OK
3677,-4.086876,3.935197,4,OK
3678,-5.8108034,-11.95956,-1,OK
4044,-3.3209507,4.033573,-1,OK
4045,-6.0032763,-12.0493,-1,OK
4057,-3.1711402,4.0397477,-1,OK
4130,-3.6377356,4.0159297,4,OK
4132,-3.5882456,4.057624,4,OK
4133,-3.2895722,4.112606,-1,OK
4201,-3.3346043,3.988615,-1,OK
5861,16.90255,16.949753,1,OK
5862,17.078232,16.819948,1,OK
5863,17.054811,17.168262,1,OK
5864,16.369764,17.189434,1,OK
5865,16.4023,17.170904,1,OK
5866,17.329657,17.411018,1,OK
5867,16.806158,16.858036,1,OK
5868,16.302343,17.423622,1,OK
5869,16.276026,17.419592,1,OK
5870,15.9562645,17.650812,1,OK
5871,16.144407,17.060524,1,OK
5872,15.993812,17.757439,1,OK
5873,15.854722,16.940453,1,OK
5874,16.814157,16.99567,1,OK
5875,16.479572,16.591316,1,OK
5876,16.63845,16.751163,1,OK
5877,16.672302,17.032116,1,OK
5878,16.626966,17.233335,1,OK
5879,16.984756,17.404146,1,OK
5880,16.39573,17.298065,1,OK
5881,16.931654,17.618904,1,OK
5882,16.655027,17.91118,1,OK
5883,16.450909,17.843138,1,OK
5884,16.451971,18.12699,1,OK
5885,16.8794,17.832376,1,OK
5886,16.82318,17.985586,1,OK
5887,17.194038,17.086843,1,OK
5888,17.3097,16.957666,1,OK
5889,16.50543,17.939322,1,OK
6052,1.817936,-1.6290154,5,OK
6065,-4.5214205,3.062886,-1,OK
6092,-2.5399733,3.6725492,-1,OK
6093,-2.5163257,3.6448405,-1,OK
6101,-5.9214816,-12.436098,-1,OK
6108,1.9026892,-1.7146097,5,OK
6112,1.8014555,-1.6117512,-1,OK
6116,1.9909173,-1.8026388,5,OK
6119,1.8742654,-1.6886209,-1,OK
6123,1.8501157,-1.661602,5,OK
6126,-4.454148,3.2358434,-1,OK
6130,-4.68263,2.9375825,-1,OK
6134,-0.33242765,-0.91661334,-1,OK
6138,1.8120571,-1.6226465,5,OK
6166,16.286926,16.844927,1,OK
6167,16.423296,16.7437,1,OK
6168,-7.2699122,0.6710359,-1,OK
6169,-7.2696476,0.5636897,-1,OK
6183,1.5040114,14.62249,6,OK
