,COU.AG.ALPHA,COU.AG.DELTA,COU.AG.EPOCH,COU.AG.EQUINOX,COU.AG.PMA,COU.AG.PMD,COU.GS.MAG,DEL.REF.OPL,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,GetAutoLADC.-.max.ODP,SEQ.ACQ.DET1.DIT,SEQ.ACQ.DET2.DIT,SEQ.ACQ.SKY.DURATION,SEQ.ACQ.TARG.DURATION,SEQ.DIL.WL0,SEQ.FS.DET1.DIT,SEQ.FS.INS.SFL.NAME,SEQ.FS.INS.SFN.NAME,SEQ.FS.SKY.DURATION,SEQ.FS.TARG.DURATION,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.PUP.DET1.DIT,SEQ.PUP.SKY.DURATION,SEQ.PUP.TARG.DURATION,SEQ.SKY.OFFS.ALPHA,SEQ.SKY.OFFS.DELTA,SEQ.TARG.FLUX.L,SEQ.TARG.FLUX.N,SEQ.TARG.MAG.K,TEL.CHOP.FREQ,TEL.CHOP.POSANG,TEL.CHOP.PVRATIO,TEL.CHOP.THROW,TEL.GS1.ALPHA,TEL.GS1.DELTA,TEL.GS1.MAG,TEL.TARG.ADDVELALPHA,TEL.TARG.ADDVELDELTA,TEL.TARG.ALPHA,TEL.TARG.DELTA,TEL.TARG.EQUINOX,TEL.TARG.PMA,TEL.TARG.PMD,Temperature
0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,2.50526726887e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,995.0,143.0,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,64508.91,-164258.0,2000.0,-0.546,-1.22,290.535
2,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.52751825095e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,995.0,143.0,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,64508.91,-164258.0,2000.0,-0.546,-1.22,290.535
4,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.1966648204319275e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,50.0,255.0,-1.66,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,134926.72,-342702.7,2000.0,-0.0417,-0.0598,290.545
5,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5103018927396286e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,50.0,255.0,-1.66,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,134926.72,-342702.7,2000.0,-0.0417,-0.0598,290.54
34,0.0,0.0,2000.0,2000.0,0.0,0.0,9.8,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,5.016584874590378e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,1.6,0.1,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,72640.709,-345618.0,2000.0,-0.0353,-0.032382,290.455
35,0.0,0.0,2000.0,2000.0,0.0,0.0,9.8,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,1.6,0.1,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,72640.709,-345618.0,2000.0,-0.0353,-0.032382,
36,0.0,0.0,2000.0,2000.0,0.0,0.0,1.64,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,8.367833541538002e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,700.0,800.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,123109.959,-570647.56,2000.0,0.02823,-0.265,290.455
37,0.0,0.0,2000.0,2000.0,0.0,0.0,1.64,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,5.475625168996114e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,700.0,800.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,123109.959,-570647.56,2000.0,0.02823,-0.265,290.465
38,0.0,0.0,2000.0,2000.0,0.0,0.0,1.64,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,4.679147611072353e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,700.0,800.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,123109.959,-570647.56,2000.0,0.02823,-0.265,290.45
125,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
126,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
127,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
128,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
