,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NDIT,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.DIT,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NDIT,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME,SEQ.DIL.WL0
18,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
1761,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
3769,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4021,0.0,512.0,512.0,0.075,512.0,512.0,1.0,,1.0,5.0,4.8,3.0,0.0,512.0,512.0,,512.0,512.0,20.0,,1.0,5.0,10.0,8.0,1.5,2.0,3.5
4930,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
5098,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
5099,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
5127,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
5128,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
5749,0.0,512.0,512.0,0.011,512.0,512.0,1.0,40.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,40.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5
