,COU.AG.ALPHA,COU.AG.DELTA,COU.AG.EPOCH,COU.AG.EQUINOX,COU.AG.PMA,COU.AG.PMD,COU.GS.MAG,DEL.REF.OPL,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,SEQ.ACQ.DET1.DIT,SEQ.ACQ.DET2.DIT,SEQ.ACQ.SKY.DURATION,SEQ.ACQ.TARG.DURATION,SEQ.DIL.WL0,SEQ.FS.DET1.DIT,SEQ.FS.INS.SFL.NAME,SEQ.FS.INS.SFN.NAME,SEQ.FS.SKY.DURATION,SEQ.FS.TARG.DURATION,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.PUP.DET1.DIT,SEQ.PUP.SKY.DURATION,SEQ.PUP.TARG.DURATION,SEQ.SKY.OFFS.ALPHA,SEQ.SKY.OFFS.DELTA,SEQ.TARG.FLUX.L,SEQ.TARG.FLUX.N,SEQ.TARG.MAG.K,TEL.CHOP.FREQ,TEL.CHOP.POSANG,TEL.CHOP.PVRATIO,TEL.CHOP.THROW,TEL.GS1.ALPHA,TEL.GS1.DELTA,TEL.GS1.MAG,TEL.TARG.ADDVELALPHA,TEL.TARG.ADDVELDELTA,TEL.TARG.ALPHA,TEL.TARG.DELTA,TEL.TARG.EQUINOX,TEL.TARG.PMA,TEL.TARG.PMD
33,0.0,0.0,2000.0,2000.0,0.0,0.0,9.8,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,1.6,0.1,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,72640.709,-345618.0,2000.0,-0.0353,-0.032382
40,0.0,0.0,2000.0,2000.0,0.0,0.0,1.64,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,700.0,800.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,123109.959,-570647.56,2000.0,0.02823,-0.265
129,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0
358,0.0,0.0,2000.0,2000.0,0.0,0.0,8.1,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,12.5,1.7,3.5,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,120800.813,-444910.06,2000.0,-0.012588,-0.003949
516,0.0,0.0,2000.0,2000.0,0.0,0.0,0.9,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,12180.0,2084.0,-3.4,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,162924.46,-262555.209,2000.0,-0.01211,-0.0233
552,0.0,0.0,2000.0,2000.0,0.0,0.0,4.6,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,196.0,31.0,0.26,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,71634.993,-275252.245,2000.0,-0.013479,0.038625
885,0.0,0.0,2000.0,2000.0,0.0,0.0,1.97,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,49.0,157.0,-1.21,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,92735.24,-83930.9,2000.0,-0.0152,0.0344
912,0.0,0.0,2000.0,2000.0,0.0,0.0,4.7,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,28.1,4.1,2.7,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,92312.251,-285001.879,2000.0,-0.127776,0.021673
926,0.0,0.0,2000.0,2000.0,0.0,0.0,2.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,0.1,0.3,9.9,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,122906.7,20308.599,2000.0,0.000122,1e-05
1082,0.0,0.0,2000.0,2000.0,0.0,0.0,4.6,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,59.0,5.59,2.29,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,105643.05,-370815.9,2000.0,0.0743,-0.125
1249,0.0,0.0,2000.0,2000.0,0.0,0.0,2.3,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,405.0,50.0,-0.3,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,165009.81,-341735.6,2000.0,-0.615,-0.256
1507,0.0,0.0,2000.0,2000.0,0.0,0.0,8.1,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,420.0,910.0,0.3,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,171117.02,-321930.7,2000.0,-0.005,-0.00204
1829,131725.04,-613502.3,2000.0,2000.0,0.0,0.0,7.92,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,0.0,56.0,1.204,1.0,0.0,1.0,4.0,0.0,0.0,12.0,0.0,0.0,131725.04,-613502.3,2000.0,-0.00477,-0.00176
1892,0.0,0.0,2000.0,2000.0,0.0,0.0,5.8,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,23.0,3.4,2.8,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,91933.13,-155004.7,2000.0,0.038,-0.0537
2074,0.0,0.0,2000.0,2000.0,0.0,0.0,12.69,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,0.172,0.05,8.18,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,183031.55,-593523.8,2000.0,-0.00143,-0.00563
2319,0.0,0.0,2000.0,2000.0,0.0,0.0,5.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,202.0,28.0,0.36,1.0,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,193039.83,-24719.9,2000.0,0.0206,-0.0106
