,COU.AG.ALPHA,COU.AG.DELTA,COU.AG.EPOCH,COU.AG.EQUINOX,COU.AG.PMA,COU.AG.PMD,COU.GS.MAG,DEL.REF.NAME,DEL.REF.OPL,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.DIT,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NDIT.SKY,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.STSOFFANG,SEQ.ACQ.DET1.DIT,SEQ.ACQ.DET2.DIT,SEQ.ACQ.SKY.DURATION,SEQ.ACQ.TARG.DURATION,SEQ.DIL.WL0,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.PUP.DET1.DIT,SEQ.PUP.SKY.DURATION,SEQ.PUP.TARG.DURATION,SEQ.SKY.OFFS.ALPHA,SEQ.SKY.OFFS.DELTA,SEQ.SKY.X,SEQ.SKY.Y,SEQ.TARG.FLUX.L,SEQ.TARG.FLUX.N,SEQ.TARG.MAG.H,SEQ.TARG.MAG.K,TEL.GS1.ALPHA,TEL.GS1.DELTA,TEL.GS1.MAG,TEL.TARG.ADDVELALPHA,TEL.TARG.ADDVELDELTA,TEL.TARG.ALPHA,TEL.TARG.DELTA,TEL.TARG.EQUINOX,TEL.TARG.PMA,TEL.TARG.PMD
2479,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,,0.0,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0
2488,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
3096,0.0,0.0,2000.0,2000.0,0.0,0.0,2.5,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,20.0,10.0,,2.5,0.0,0.0,12.0,0.0,0.0,124139.643,-12657.742,2000.0,-0.61476,0.06134
3616,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,9.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
3617,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,,1.2,0.0,0.0,12.0,0.0,0.0,125306.906,-485635.923,2000.0,-0.07919,-0.02426
4131,0.0,0.0,2000.0,2000.0,0.0,0.0,4.3,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,88.9,13.2,,1.2,0.0,0.0,12.0,0.0,0.0,134738.539,-501914.476,2000.0,-0.14109,-0.00082
4612,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
6100,0.0,0.0,2000.0,2000.0,0.0,0.0,2.8,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,380.0,59.0,,-0.1,0.0,0.0,12.0,0.0,0.0,221830.09,-601534.5,2000.0,-0.0707,-0.0394
6156,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,1.0,2.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
6157,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,1.0,30.0,0.0,512.0,512.0,0.7,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,0.3,512.0,512.0,20.0,1.0,1.0,5.0,10.0,8.0,90.0,0.005,0.005,10.0,10.0,3.5,4.0,13.0,0.06,10.0,10.0,1.0,15.0,2000.0,2000.0,3000.0,300.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,120821.522,-504320.69,2000.0,-0.04011,-0.001557
